Title,Published(Kor),Description,Link
내일 아침 -4~0도...오전에 눈 또는 비 조금,2026-01-06 21:30:00 (KST),"내일은 가끔 구름 많은 가운데 아침 기온은 영하 4도에서 0도로 오늘보다 5도가량 높겠습니다.
최고 기온은 3도에서 6도의 분포로 오늘과 비슷하겠습니다.
내일 오전에는 무주 등 동부지역에 1센티미터 미만의 눈이나...",https://jtv.co.kr/2021/?c=3/45&uid=2199626
"경찰, '강선우 1억 보관' 前보좌관 소환…강제수사 초읽기",2026-01-06 21:30:00 (KST),"그는 ""강서구에서 몇 년간 정치하면서 민주당의 행태를 봐 왔다""며 ""지역별, 동별로 돈 봉투를 뿌린 것이 어제오늘 일이 아니다""라며 ""강서구든 어디든 돈 봉투, 돈 공천이 확실히 척결되기를 바란다""고 했습니다.
경찰은...",https://www.tjb.co.kr/news05/bodo/view/id/92390
한라산 등반 20대 응급환자 해경 이송,2026-01-06 21:29:00 (KST),"제주지방해양경찰청에 따르면 오늘(6일) 오후 2시 반쯤 한라산 삼각봉 인근에서 등반하던 20대가 가슴 통증과 구토 등의 증상을 보인다는 신고가 접수됐습니다.
해경은 헬기를 투입해 이 남성을 구조하고 병원으로 긴급...",https://n.news.naver.com/mnews/article/661/0000068459?sid=102
"[오늘, 이 장면] 농구에서 나온 '나쁜 손'…골텐딩이 가른 희비",2026-01-06 21:28:00 (KST),"연장 종료 5초 전.
림을 향해 살짝 띄운 공을 간신히 쳐냅니다.
그런데 자세히 보니까 백보드에 맞은 공을 건드렸죠.
이게 득점으로 인정됐고, 결국 승부까지 바꿔놓았습니다.",https://m.sports.naver.com/basketball/article/437/0000472241
"성현출, 광주 남구청장 출마 선언",2026-01-06 21:27:00 (KST),"성현출 수석부회장은 오늘(6일) 광주시의회에서 기자회견을 열고 '사람중심 남구발전'을 슬로건으로 내걸며 정체된 남구의 재도약을 위해 실행력 있는 리더십이 필요하다고 밝혔습니다.
이어 남구 발전을 위한 핵심...",https://n.news.naver.com/mnews/article/660/0000100609?sid=102
"[오늘의 뉴스 종합] 중국, 日 겨냥 '이중용도 물자' 수출 금지...다카이...",2026-01-06 21:26:00 (KST),"아주경제=박승호 기자 shpark@ajunews.com 중국, 日 겨냥 '이중용도 물자' 수출 금지...다카이치 압박 중국 정부가 다카이치 사나에 일본 총리의 '대만 유사시 개입' 시사 발언에 대응해 강력한 경제 보복 조치를 단행했다....",https://www.ajunews.com/view/20260106211046020
"광주상의 신년인사회 ""AI 혁신으로 미래 성장도시 도약""",2026-01-06 21:26:00 (KST),"광주상의는 오늘(6일) 김대중컨벤션센터에서 강기정 광주시장, 주순선 전남 동부지역본부장, 지역 국회의원과 기업인 등 8백여 명이 모인 가운데 신년인사회를 열었습니다.
한상원 광주상의 회장은 지역 경제 활성화를...",https://n.news.naver.com/mnews/article/660/0000100606?sid=101
진땀 뺐지만 '그래도 안세영'…75분 혈투 끝에 역전승,2026-01-06 21:25:00 (KST),"오늘은 첫 게임을 내주고 두 번째 게임도 6대 11까지 끌려갔습니다.
세계 12위 미셸리에게 정말 질 뻔했는데요.
이때부터 역전이 뭔지 보여주기 시작합니다.
세 번째 게임도 팽팽했지만 마지막에 웃은 건...",https://m.sports.naver.com/general/article/437/0000472239
"“모든 것이 그리운 오늘, 사랑해”…故 이선균의 마지막 메시지",2026-01-06 21:25:00 (KST),"특히 눈길을 끈 건 이선균의 묘비명.
고인의 묘비에는 “모든 것이 그리운 오늘… 사랑해”라는 문구가 새겨져 보는 이들의 마음을 먹먹하게 했다.
한편 이선균은 지난 2023년 12월 27일 48세를 일기로 사망했다.",https://m.entertain.naver.com/article/241/0003487170
세월만큼 깊어진 맛…경기 노포 명소 6곳 탐방,2026-01-06 21:25:00 (KST),"지동시장의 풍경과 소리 속에서 호남순대는 오늘도 변하지 않는 방식으로 음식을 내놓는다.
#모양도 예쁘고 소화도 잘되는 삼색면 ‘안산 이조칼국수’ 이조칼국수는 안산의 맛집을 말할 때 빠지지 않는 곳으로, 35년 동안...",https://n.news.naver.com/mnews/article/005/0001824543?sid=102
